mm,deg,superior,inferior,temporal,nasal
0.00,0.00,196890,196890,196890,196890
0.05,0.18,140595,145724,162414,154441
0.10,0.36,105146,107325,121619,115399
0.15,0.54,83182,85645,98424,92992
0.20,0.71,65106,68785,80004,74233
0.30,1.07,46900,50905,57712,53432
0.40,1.43,35696,39422,45420,42975
0.50,1.79,28034,32397,38380,36493
0.60,2.14,24346,28194,34223,31530
0.70,2.50,21232,24597,29027,26109
0.80,2.86,19249,21911,24144,23872
0.90,3.21,17453,19205,21165,22339
1.00,3.57,15863,16993,19699,20962
1.99,7.14,10102,10430,11703,12522
2.99,10.71,7581,7650,9118,8849
3.98,14.29,5911,6224,7030,
4.98,17.86,5294,5545,5786,7179
5.97,21.43,4868,4991,5103,6651
6.97,25.00,4575,4700,4780,6409
7.96,28.57,4367,4426,4477,6232
8.96,32.14,4232,4196,4208,5959
9.95,35.71,4229,4029,3888,5609
10.95,39.28,4069,3861,3763,5348
11.94,42.85,3917,3722,3539,5139
12.94,46.64,3871,3673,3436,4989
13.93,50.79,3847,3714,3368,4886
14.93,54.90,3778,3701,3336,4807
15.92,58.77,3728,3676,3176,4726
16.92,62.91,3767,3673,3070,4721
17.91,67.67,3723,3736,3359,4717
18.91,72.69,3983,4539,,4846
19.90,77.97,3227,,,5234
20.90,84.38,,,,4906
21.89,91.35,,,,5191
